user_id,item_id,interaction_time,reward_time,observed_reward
628e4d8b098276d23132f9268f87460afb4c4aad1d25766d29eb721b0925db96,697967cf2db8792b254a07a21d5c5d271c6bcda4bf1887c2064359b8a198b896,0,0.0,1
d9aacc7ca4d339fddfb9d4289bab9493374c89836e5b68b94804892236ea7ba2,80d4e98b3a3b7b35b473f1861580b889186f9cc3535f4271ac43a806df47b4d8,0,32.0,0
0f59f13bc0d7fe862f418372a2b3dca9dbe9f204e90fcf8fdb2356beaf4e5139,d81bb3ae9a90d2b3d45f30e1e2c9ecf4d967c8bb66d410269832e216cdb9d199,0,7.0,1
ecfb70c3dd37b13b8f2e4e676a1119fefc897589b1f6c1af4382284608bf0d56,bf6b308e7b2372f58a34b92a2be21ffdd54ff3ecbc428db363af27fd2fe5304d,0,10.0,0
ed0fae04b4c2611e6243b67960201f98bb8c45db76b9dd98446c488ec952b5e4,2272f5c7c6e91b973a96cef9c4220bf28a447c756744752fdb85df8143cef6ed,0,17.0,1
aa5544b95ad3805f84c06d7f2962852956ddad2c5561136f0b30a67c889e5617,2460ebfed13cc9be046f33dbc518a0a3be71a967a32634f187705b73c99f3b03,0,18.0,1
d58ee01640cbb532fd1a4ce0b3abd17e50f145fdb85eec3add8bdea944a24994,bbffb0ec5cccf80926c640d90e1c748767c73dfcf958e0437355d9e7b3726bc0,0,22.0,0
520e642c09e6d45484cb52374ce170f3893f28701819e473d3b0e28b2cf15ea9,35dbb1e25cb24ed987f6762779a5719e738a85389537c79794ddc51d8f898162,0,0.0,1
d2b4d3509ca427415daa847f1d6c978b7ca51d72c56dedc5e4b6b8a08623b96b,a42745c006ececcc9fc5be9524b647384f0b25548286f738c379b34098b2dbde,0,21.0,0
35538963f09f06201df5eff81806e2b7346c1c39509594fbb919e0ec44e060ac,7a957e07332eedb08b2605110c9763bd1f19e4fc281f5154e768d6230faa7bf8,0,5.0,0
787868083d7cc468560351aa3eebb8e292be85bde2e059a59b7f06fdd0bf199b,f081b40c24d90eea66f82b670baa21f243049b4d5413f3a111d8b9c2a5b6f263,0,86.0,1
d59b70cf5b4487baa809d29cc7815c76a261f0f1f7c271043631ad767b6ef814,fe158088c21cbb5100311140acfad844e429546be7fc365703431723aaec4464,0,9.0,1
