user_id,age,region,device,activity_level
6e617218fdb31e05bfa55716aa673d144ab8c59761bf4932a9511affa6c80ad3,28,9,1,0.4005550318549129
cb7ea07f4f7adeccb496097c765cd2f338be67d83c95c04fd34a8ed6815f320c,42,7,0,0.2600406028751073
2f7767b2b6b97140abd5606e97f9eb8d54bcf87b202528db81597698349063ee,49,2,2,0.2589911930018118
72f03a7ef4d305f31416df63849a89d4e57828973470495f2a93fff4b8d6ede3,23,1,1,0.9920288194920908
20dbc0ef87dc235a20e997542b54569514b3603969ff670f5a8e602153004e94,54,8,1,0.1619545932267247
4a59d4a10071f2c1d67389b0227070b55370e6507c064cb94141ecb12843b3b1,36,2,0,0.5140621118607516
2bfb4068171e05b5b5a468f2d2e337a0eb09a3b9ae4cab8ec2a172e1e6ddfa7e,22,6,2,0.9004486646874805
5eefb6264fab6b0f00a2750d39ad9c33f7ad9898776765c84e49a30b8cbd8863,27,3,1,0.5968570365259991
82d1abb9a31d291d4745cdbf42c38172eb3f939cad42e60582f13ac607d97285,62,7,2,0.9057884536356804
aaef94f00516b3425c21566bdf099a10b607c5a4f2063dea45ec4614791fded2,57,5,2,0.1395245806197556
f9f93d5c0854eb16c36db410bb144d93b6a30e5a10dfbe5e07a1cf32d6d6ece3,60,0,1,0.3414812873319602
1eced9394a80f18eade7a1a9344bc9ed6a96015050aa3bb1e0b420b0b1717433,61,8,0,0.5602509584301405
464b5f057f2671e9da626210f1be6054fa77759de194ece08e0bd0ae9c991c90,68,1,1,0.0505901945483131
1da6738dc018d2b7074a3f1d414e2ab490b8bd9b25fd430eb087981caf8b7182,36,0,0,0.1150376754635464
366f81768818887e1936f3b8c8a5d39836369c6516db0ca70c7cd5b761edebb3,69,5,2,0.93034283445242
25cfae1cde5860ad728a9462252871b81ad068b10beb35ef4f810bc53360e2cf,29,5,1,0.1747249697225958
d56d75c34124bcf8dc847d8d5b77e801911f4f98827975ad8a5333d48622bfb4,29,7,1,0.6632258946875623
e870984068d3b5a811523cf6ea5f40b323bcb365583746976dc9ea511324e32f,40,2,0,0.5653273166252584
ea970f67bcbf39157c18ac62780bbe42dcf72761dcd8a01458f219d00ffd3679,25,6,0,0.2834410978935127
1f49cc862fd18c6199a76834046abbb5226a05cd1a124cd5d900c8d2f8946a39,49,2,2,0.1571650403734575
9e3e6d487471c629fcebb94dabb1d2f91a7e9e810a2e4e7ce53c281f3aedd410,66,5,2,0.883349214128547
eaab38e31f73815b96cf411c94445eb69297c637aabe34a33fe52a6b072e80da,62,5,0,0.4290183192446363
ffb934e4a4cd039947f9c0cff00157d8dbf3100b534c763da19051108579e89e,69,7,1,0.8361886405591125
c6a0efdc4e091f9484d60262b22c9228ae28bfe3b005ff0783eab38e67f85abd,67,4,2,0.0767328366700944
b28e2690ee5eb4eb70e3aa825b3b360f357d7b5f3498fbfec2b0da6b491a595f,68,3,2,0.1894523899158713
3b6c65e1c3c2fce4921d71d42c375d726e284c3a60b5196c6cee9850cc08e937,18,2,0,0.6964895269099416
f468362c821cc41f7854f40d69be5653198a1a4569b912a69fb648208d7e315f,49,6,2,0.5910707031335841
9dd3402dfc2553fddc78b7e4005285378c83a9367ae4b620732ac582789c69df,39,1,0,0.1922343503839374
59154447dadb63b044dc7aed723add1b3fa5133b487e497fbacdd91812340cbc,41,8,0,0.5526439083301675
